TradingDate,LowPrice,Volume,n,Margin Trading,Production(coal),AQI,PMI,USD,log,garch,vola
2016/5/13,15.6,300985,0.089385475,4.82E+11,3781,110,50.1,652.46,0.085613753,0.07472046,0.063272945
2016/5/16,14.04,1130,0.026282051,4.82E+11,3781,63,50.1,653.43,0.025942613,0.0603597,0.062490252
2016/5/18,14.41,150012,-0.063085572,4.77E+11,3781,100,50.1,652.16,-0.065163326,0.06268301,0.067065638
2016/5/19,13.5,210,0.043333333,4.77E+11,3781,59,50.1,655.31,0.042420716,0.05795964,0.051709145
2016/5/20,15.65,200000,0,4.76E+11,3781,59,50.1,655.1,0,0.04751659,0.049941833
2016/5/23,15.65,400000,0,4.76E+11,3781,85,50.1,654.55,0,0.04150736,0.036651732
2016/5/24,14.09,70810,-0.073482428,4.76E+11,3781,97,50.1,654.68,-0.076322268,0.05947424,0.044515379
2016/5/25,13.26,901,0.068965517,4.75E+11,3781,109,50.1,656.93,0.066691374,0.06546639,0.04869766
2016/5/27,16.2,459,0.04516129,4.73E+11,3781,33,50.1,654.9,0.044171218,0.06003975,0.048959816
2016/5/30,16.2,170802,0,4.71E+11,3781,53,50.1,657.84,0,0.04894692,0.048959816
2016/5/31,14.58,6,-0.1,4.75E+11,3781,52,50.1,657.9,-0.105360516,0.07558179,0.066815661
2016/6/1,14.58,217076,0,4.76E+11,3854,65,50,658.89,0,0.0594516,0.059150012
2016/6/2,13.12,666975,0.005486968,4.78E+11,3854,75,50,656.88,0.00547197,0.04944678,0.049921925
2016/6/3,14.66,703589,0,4.76E+11,3854,64,50,657.93,0,0.04307448,0.042743974
2016/6/6,13.19,333400,-0.100272851,4.77E+11,3854,120,50,654.97,-0.10566373,0.07253906,0.052621777
2016/6/7,11.87,500,-0.100075815,4.77E+11,3854,117,50,656.18,-0.105444758,0.08387988,0.052642355
2016/6/8,10.68,15373,-0.095197978,4.74E+11,3854,49,50,655.93,-0.10003912,0.08691193,0.052218138
2016/6/12,9.67,111372,0.074487896,4.74E+11,3854,44,50,656.93,0.071844172,0.08129516,0.072110477
2016/6/13,10.88,259538,0.04592721,4.72E+11,3854,56,50,658.05,0.044903774,0.07019105,0.079888591
2016/6/14,11.01,136248,0.075393538,4.72E+11,3854,45,50,657.91,0.072686676,0.07283279,0.081897733
2016/6/15,11.68,158620,0.001540832,4.75E+11,3854,40,50,660.01,0.001539646,0.05854093,0.06452541
2016/6/16,11.7,100833,-0.010769231,4.74E+11,3854,53,50,657.39,-0.010827639,0.04929827,0.034900812
2016/6/17,11.57,108971,-0.01244168,4.73E+11,3854,74,50,657.95,-0.012519725,0.04381715,0.033885653
2016/6/18,12.37,71327,-0.025984252,4.73E+11,3854,36,50,658.95,-0.026327807,0.04248739,0.035020869
2016/6/19,11.13,84364,0.025060631,4.73E+11,3854,47,50,659.95,0.024751763,0.04316977,0.017162721
2016/6/20,11.41,177666,-0.074132492,4.74E+11,3854,58,50,657.08,-0.077024135,0.05842098,0.032966169
2016/6/21,10.57,1670,-0.022998296,4.73E+11,3854,50,50,656.56,-0.023266883,0.0503959,0.032618229
2016/6/22,10.32,24118,-0.04097646,4.74E+11,3854,52,50,659.35,-0.041839658,0.04937004,0.032863661
2016/6/23,9.9,13,-0.058181818,4.73E+11,3854,83,50,656.58,-0.059943036,0.05432475,0.035048038
2016/6/24,9.32,101,-0.1003861,4.71E+11,3854,103,50,657.76,-0.105789608,0.07555271,0.028471973
