TradingDate,LowPrice,Volume,n,Margin Trading,production(coal),AQI,PMI,USD,log,garch,vola
2018/7/2,39.4,11245,0.010512821,5.58E+11,3551,30,51.2,661.57,0.010457945,0.0208277,0.00565206
2018/7/3,39.5,3300,0.002283684,5.58E+11,3551,39,51.2,664.97,0.002281081,0.01974474,0.0056217
2018/7/4,38.4,165738,-0.021012658,5.55E+11,3551,65,51.2,665.95,-0.021236566,0.02397058,0.010542285
2018/7/5,39,26472,0.009826739,5.52E+11,3551,42,51.2,661.8,0.009778771,0.02261874,0.011513727
2018/7/6,38.7,39206,-0.006658131,5.49E+11,3551,37,51.2,663.36,-0.006680395,0.02085331,0.011832037
2018/7/9,39.1,2702,0.012374323,5.48E+11,3551,57,51.2,663.93,0.012298387,0.02163412,0.012207903
2018/7/10,38.7,11612,-0.011713776,5.48E+11,3551,30,51.2,662.59,-0.011782923,0.02121148,0.012800151
2018/7/11,38.99,1764,0.005410977,5.45E+11,3551,40,51.2,662.34,0.00539639,0.02005488,0.009415135
2018/7/12,39.2,1869,0.004613019,5.46E+11,3551,37,51.2,667.26,0.004602412,0.01922452,0.008741611
2018/7/13,38.8,24659,0.005102041,5.44E+11,3551,44,51.2,667.27,0.00508907,0.01875267,0.007969901
2018/7/16,38,87827,-0.024365482,5.44E+11,3551,40,51.2,667.58,-0.024667232,0.02437445,0.012101587
2018/7/17,38,99516,-0.008844953,5.45E+11,3551,30,51.2,668.21,-0.008884302,0.02184216,0.011793419
2018/7/18,38,24977,0.029658793,5.44E+11,3551,36,51.2,669.14,0.029227478,0.02889343,0.017793075
2018/7/19,39.5,36263,0.010196278,5.43E+11,3551,33,51.2,670.66,0.010144647,0.02527996,0.01814749
2018/7/20,39,58591,0.009084027,5.41E+11,3551,42,51.2,676.71,0.009043016,0.02290998,0.018342046
2018/7/23,39.1,35752,-0.006751688,5.40E+11,3551,34,51.2,675.93,-0.006774584,0.020784,0.013778003
2018/7/24,39.7,11226,0.005287009,5.40E+11,3551,123,51.2,678.91,0.005273082,0.01953753,0.011597051
2018/7/25,39,20682,0.003506136,5.41E+11,3551,138,51.2,680.4,0.003500004,0.018526,0.006014477
2018/7/26,39.8,24780,0.006987771,5.42E+11,3551,76,51.2,676.62,0.00696347,0.01841967,0.005502373
2018/7/27,41,42740,0.05377943,5.40E+11,3551,186,51.2,679.42,0.052383159,0.02845834,0.020619363
2018/7/30,42,6828,-0.007761054,5.40E+11,3551,85,51.2,681.31,-0.007791327,0.03259007,0.020810298
2018/8/21,37.97,9728,-0.100023702,5.26E+11,3670,49,51.3,683.6,-0.105386852,0.0781341,0.051894462
2018/8/22,34.17,28077,-0.099552278,5.26E+11,3670,48,51.3,682.71,-0.104863171,0.06574584,0.063117446
2018/8/29,35,3889,0.023691138,5.23E+11,3670,41,51.3,680.72,0.023414858,0.0693555,0.065435458
2018/8/30,31.6,10,-0.097142857,5.23E+11,3670,54,51.3,681.13,-0.102190941,0.087407,0.05573958
2018/8/31,29.01,16,-0.076898734,5.20E+11,3670,110,51.3,682.46,-0.080016337,0.08432793,0.049513769
2018/9/5,32.09,2650,0.100102845,5.19E+11,3655,146,50.8,682.66,0.095403671,0.09144455,0.079787545
2018/9/10,33,500,0.028357744,5.16E+11,3655,59,50.8,683.89,0.027963106,0.06913912,0.073520961
2018/9/11,36.3,4489,0.1,5.15E+11,3655,43,50.8,684.88,0.09531018,0.08469918,0.084317758
2018/9/17,32.8,105,-0.038567493,5.11E+11,3655,26,50.8,685.09,-0.039330912,0.06878601,0.070631555
2018/9/18,31.5,1010,-0.026361032,5.11E+11,3655,27,50.8,685.54,-0.026714713,0.06212588,0.057565889
2018/9/19,30.6,20,-0.099470277,5.09E+11,3655,28,50.8,685.69,-0.104772107,0.07202978,0.067307744
2018/9/20,30.2,13268,-0.012745098,5.08E+11,3655,29,50.8,685.3,-0.012827014,0.06202401,0.064692742
2018/9/21,27.2,515,0.022509103,5.05E+11,3655,30,50.8,683.57,0.022259512,0.05799312,0.041686378
2018/9/25,28.9,1,-0.064422143,5.06E+11,3655,48,50.8,684.4,-0.066590912,0.05925696,0.043972339
2018/9/26,30,330,0.038062284,5.06E+11,3655,59,50.8,685.71,0.037355787,0.05212354,0.053597097
2018/9/28,30,6248,0.000666667,5.00E+11,3655,54,50.8,687.92,0.000666445,0.04947509,0.03582465
2018/10/9,29.01,11156,-0.033644237,5.03E+11,3661,74,50.2,690.19,-0.034223228,0.04651592,0.037863937
2018/10/11,29,2,-0.000344709,4.95E+11,3661,49,50.2,690.98,-0.000344768,0.04158038,0.035225981
2018/10/12,29,8519,0.013793103,4.89E+11,3661,53,50.2,691.2,0.013698844,0.03789945,0.023220938
2018/10/25,32.34,4918,0.1,4.75E+11,3661,66,50.2,694.09,0.09531018,0.05509497,0.043163074
2018/10/26,35.57,8000,0.099876314,4.74E+11,3661,75,50.2,695.1,0.095197732,0.07873858,0.052440792
2018/10/29,34.01,51,-0.041045825,4.74E+11,3661,94,50.2,693.77,-0.04191199,0.06791422,0.054489394
2018/10/30,34,500,-0.003224861,4.74E+11,3661,55,50.2,695.74,-0.003230072,0.05415995,0.054847114
2018/10/31,36,1,0.058823529,4.73E+11,3661,57,50.2,696.46,0.057158414,0.0548849,0.054731263
2018/11/2,39.6,4540,0.1,4.72E+11,3541,54,50,693.71,0.09531018,0.06523814,0.054731263
2018/11/12,35.64,1,-0.1,4.76E+11,3541,43,50,694.76,-0.105360516,0.08728092,0.071018629
2018/11/15,39.16,500,0.098765432,4.80E+11,3541,88,50,693.92,0.094187215,0.07865562,0.075526441
2018/11/20,35.31,1,-0.098314607,4.82E+11,3541,80,50,692.8,-0.103489608,0.08344914,0.09246343
2018/11/28,33.02,1,-0.064854149,4.79E+11,3541,163,50,695,-0.067052771,0.07963528,0.092486854
